vfe_V,onoff_Ec1p5_MW_simulated,onoff_Ec2p0_MW_simulated,onoff_Ec2p5_MW_simulated,onoff_WKB_transport,onoff_measured_anchor
0.2167,31.97,48.82,85.24,77.29242010807197,
0.4333,42.84,59.32,98.72,89.34376992685897,
0.65,67.64,81.22,125.5,113.36134361609548,
0.8667,120.6,123.4,173.9,156.6872427392465,
1.0833,231.0,204.0,260.1,234.17887957342208,
1.3,451.1,358.7,415.5,374.1710267846551,
1.5167,859.9,654.7,699.8,632.2640593519336,
1.7333,1549.0,1212.0,1225.0,1115.1443573324248,
1.95,2590.0,2228.0,2201.0,2027.7643832479728,
2.1667,4000.0,4000.0,4000.0,3752.3800026925223,
